,tapi,atr,vma,cdp,expma
000822.SZ,"176,048,699.4167",1.3900,"178,224,165.8000",5.7433,6.3841
000823.SZ,"166,676,469.0449",2.4800,"126,852,830.6000",7.2200,8.4492
000825.SZ,"539,316,216.5910",0.7700,"415,105,534.0000",3.7000,3.7849
000826.SZ,"430,563,214.2227",0.6900,"633,148,270.8000",2.1667,2.6939
000828.SZ,"193,029,917.0646",1.9600,"396,522,313.4000",9.3200,9.8044
000829.SZ,"484,643,172.1811",2.7700,"920,232,897.0000",7.7133,8.8943
000830.SZ,"303,534,257.4004",2.3000,"231,574,258.0000",9.8733,10.0386
000831.SZ,"401,232,464.6741",9.4000,"242,930,744.8000",25.9367,27.4237
000833.SZ,"85,175,183.5484",1.2900,"104,723,271.8000",4.7100,5.5495
000836.SZ,"842,039,216.3077",0.8600,"693,030,456.2000",1.7900,2.3512
000837.SZ,"487,260,076.4032",4.3100,"399,423,350.4000",8.5233,9.8854
000838.SZ,"392,439,140.2040",1.1500,"563,930,929.0000",2.8100,3.3518
000839.SZ,"260,777,239.2228",0.3900,"257,993,216.0000",1.9500,2.1401
000848.SZ,"151,012,976.0165",1.0700,"121,881,591.8000",7.7300,8.0135
000850.SZ,"452,100,410.5749",1.1400,"378,895,531.6000",3.2467,3.6556
000851.SZ,"652,009,731.6701",1.8100,"1,423,604,909.0000",4.4833,5.3051
000852.SZ,"290,474,786.2496",2.0300,"262,242,630.2000",6.2800,6.7293
000856.SZ,"173,580,292.5429",2.5300,"183,373,812.2000",6.6600,8.1044
